date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:45	948860/948860	U-----	200	untouched ('')	application/pdf	etag:%22e7a7c-490f3a1d64495%22	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Altera-history/dsmercury.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Altera-history/dsmercury.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Altera-history/)
16:47:46	7614/7614	U-----	200	untouched ('OK')	text/html	date:Thu,%2001%20Apr%202021%2008:27:27%20GMT	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Xilinx-history/index.html	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/)
16:47:46	665229/665229	U-----	200	untouched ('')	application/pdf	etag:%22a268d-490f3a4d1fc4d%22	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Altera-history/m5000.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Altera-history/m5000.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Altera-history/)
16:47:46	540134/540134	U-----	200	untouched ('')	application/pdf	etag:%2283de6-490f3a73c6f9b%22	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Altera-history/m9000.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Altera-history/m9000.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Altera-history/)
16:47:46	801/801	U-----	200	untouched ('OK')	text/html	date:Thu,%2001%20Apr%202021%2002:25:53%20GMT	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Altera-history/protected/	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Altera-history/protected/index.html	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Altera-history/)
16:47:46	1191/1191	U-----	200	untouched ('OK')	text/html	date:Thu,%2001%20Apr%202021%2002:25:53%20GMT	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Patents/?C=N;O=D	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Patents/indexc052.html	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Patents/)
16:47:47	1191/1191	U-----	200	untouched ('OK')	text/html	date:Thu,%2001%20Apr%202021%2002:25:54%20GMT	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Patents/?C=M;O=A	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Patents/indexf8a0.html	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Patents/)
16:47:47	1191/1191	U-----	200	untouched ('OK')	text/html	date:Thu,%2001%20Apr%202021%2002:25:54%20GMT	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Patents/?C=S;O=A	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Patents/indexbfec.html	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Patents/)
16:47:47	1191/1191	U-----	200	untouched ('OK')	text/html	date:Thu,%2001%20Apr%202021%2002:25:54%20GMT	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Patents/?C=D;O=A	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Patents/index30b5.html	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Patents/)
16:47:49	121877/121877	---M--	200	added ('OK')	application/pdf	etag:%221dc15-48ffe79286c00%22	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/jbits.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Xilinx-history/jbits.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/)
